path_idx	node	event	event_count	C_ancestor	C_derived	Migration	BigL	hetA	fixed	hetB	hetAB
48	18	C_derived	2	0	3	0	1	2	1	0	0
48	24	BigL	1	0	1	0	1	2	0	0	0
48	19	C_ancestor	1	1	0	0	0	2	0	0	0
48	LCA	LCA	0	0	0	0	0	0	0	0	0
49	0	Migration	2	1	1	2	1	2	0	2	0
49	3	C_derived	1	0	3	1	1	2	0	2	0
49	8	Migration	1	0	1	1	1	2	1	0	0
49	18	BigL	1	0	3	0	1	2	1	0	0
49	9	C_ancestor	1	3	0	0	0	2	1	0	0
49	14	C_ancestor	1	1	0	0	0	0	2	0	0
49	LCA	LCA	0	0	0	0	0	0	0	0	0
50	0	Migration	2	1	1	2	1	2	0	2	0
50	3	C_derived	1	0	3	1	1	2	0	2	0
50	8	Migration	1	0	1	1	1	2	1	0	0
50	18	BigL	1	0	3	0	1	2	1	0	0
50	9	C_ancestor	2	3	0	0	0	2	1	0	0
50	19	C_ancestor	1	1	0	0	0	2	0	0	0
50	LCA	LCA	0	0	0	0	0	0	0	0	0
51	0	Migration	2	1	1	2	1	2	0	2	0
51	3	C_derived	1	0	3	1	1	2	0	2	0
51	8	BigL	1	0	1	1	1	2	1	0	0
51	9	C_ancestor	1	3	0	0	0	2	1	0	0
51	14	C_ancestor	1	1	0	0	0	0	2	0	0
51	LCA	LCA	0	0	0	0	0	0	0	0	0
52	0	Migration	2	1	1	2	1	2	0	2	0
52	3	C_derived	1	0	3	1	1	2	0	2	0
52	8	BigL	1	0	1	1	1	2	1	0	0
52	9	C_ancestor	2	3	0	0	0	2	1	0	0
52	19	C_ancestor	1	1	0	0	0	2	0	0	0
52	LCA	LCA	0	0	0	0	0	0	0	0	0
53	0	Migration	2	1	1	2	1	2	0	2	0
53	3	Migration	1	0	3	1	1	2	0	2	0
53	11	C_derived	1	0	6	0	1	2	0	2	0
53	6	C_derived	2	0	3	0	1	0	1	2	0
53	15	C_derived	1	0	1	0	1	0	0	2	0
53	22	BigL	1	0	0	0	1	0	0	0	0
53	LCA	LCA	0	0	0	0	0	0	0	0	0
54	0	Migration	2	1	1	2	1	2	0	2	0
54	3	Migration	1	0	3	1	1	2	0	2	0
54	11	C_derived	1	0	6	0	1	2	0	2	0
54	6	C_derived	2	0	3	0	1	0	1	2	0
54	15	BigL	1	0	1	0	1	0	0	2	0
54	16	C_ancestor	1	1	0	0	0	0	0	2	0
54	LCA	LCA	0	0	0	0	0	0	0	0	0
55	0	Migration	2	1	1	2	1	2	0	2	0
55	3	Migration	1	0	3	1	1	2	0	2	0
55	11	C_derived	1	0	6	0	1	2	0	2	0
55	6	C_derived	1	0	3	0	1	0	1	2	0
55	13	C_derived	1	0	1	0	1	0	2	0	0
55	22	BigL	1	0	0	0	1	0	0	0	0
55	LCA	LCA	0	0	0	0	0	0	0	0	0
56	0	Migration	2	1	1	2	1	2	0	2	0
56	3	Migration	1	0	3	1	1	2	0	2	0
56	11	C_derived	1	0	6	0	1	2	0	2	0
56	6	C_derived	1	0	3	0	1	0	1	2	0
56	13	BigL	1	0	1	0	1	0	2	0	0
56	14	C_ancestor	1	1	0	0	0	0	2	0	0
56	LCA	LCA	0	0	0	0	0	0	0	0	0
57	0	Migration	2	1	1	2	1	2	0	2	0
57	3	Migration	1	0	3	1	1	2	0	2	0
57	11	C_derived	1	0	6	0	1	2	0	2	0
57	6	BigL	1	0	3	0	1	0	1	2	0
57	7	C_ancestor	2	3	0	0	0	0	1	2	0
57	16	C_ancestor	1	1	0	0	0	0	0	2	0
57	LCA	LCA	0	0	0	0	0	0	0	0	0
58	0	Migration	2	1	1	2	1	2	0	2	0
58	3	Migration	1	0	3	1	1	2	0	2	0
58	11	C_derived	1	0	6	0	1	2	0	2	0
58	6	BigL	1	0	3	0	1	0	1	2	0
58	7	C_ancestor	1	3	0	0	0	0	1	2	0
58	14	C_ancestor	1	1	0	0	0	0	2	0	0
58	LCA	LCA	0	0	0	0	0	0	0	0	0
59	0	Migration	2	1	1	2	1	2	0	2	0
59	3	Migration	1	0	3	1	1	2	0	2	0
59	11	C_derived	4	0	6	0	1	2	0	2	0
59	20	C_derived	1	0	3	0	1	1	0	1	1
59	15	C_derived	1	0	1	0	1	0	0	2	0
59	22	BigL	1	0	0	0	1	0	0	0	0
59	LCA	LCA	0	0	0	0	0	0	0	0	0
60	0	Migration	2	1	1	2	1	2	0	2	0
60	3	Migration	1	0	3	1	1	2	0	2	0
60	11	C_derived	4	0	6	0	1	2	0	2	0
60	20	C_derived	1	0	3	0	1	1	0	1	1
60	15	BigL	1	0	1	0	1	0	0	2	0
60	16	C_ancestor	1	1	0	0	0	0	0	2	0
60	LCA	LCA	0	0	0	0	0	0	0	0	0
61	0	Migration	2	1	1	2	1	2	0	2	0
61	3	Migration	1	0	3	1	1	2	0	2	0
61	11	C_derived	4	0	6	0	1	2	0	2	0
61	20	C_derived	1	0	3	0	1	1	0	1	1
61	25	C_derived	1	0	1	0	1	0	0	0	2
61	22	BigL	1	0	0	0	1	0	0	0	0
61	LCA	LCA	0	0	0	0	0	0	0	0	0
62	0	Migration	2	1	1	2	1	2	0	2	0
62	3	Migration	1	0	3	1	1	2	0	2	0
62	11	C_derived	4	0	6	0	1	2	0	2	0
62	20	C_derived	1	0	3	0	1	1	0	1	1
62	25	BigL	1	0	1	0	1	0	0	0	2
62	21	C_ancestor	1	1	0	0	0	0	0	0	2
62	LCA	LCA	0	0	0	0	0	0	0	0	0
63	0	Migration	2	1	1	2	1	2	0	2	0
