path_idx	node_id	LCA	label	event	count	J_A_B	C_A	C_A_B	C_B	M_B_A	m_1	m_2	m_3	m_4
4	12	15	A=[a1+a1];B=[b1+b1]	M_B_A	1	1	0	0	0	1	0	0	0	2
4	15	15	A=[a1+a1,b1+b1]	C_A	1	1	1	0	0	0	0	0	0	2
5	3	15	A=[a1,a1];B=[b1,b1]	C_B	1	1	1	0	1	2	2	2	0	0
5	10	15	A=[a1,a1];B=[b1+b1]	M_B_A	1	1	1	0	0	1	0	2	0	1
5	12	15	A=[a1,a1,b1+b1]	C_A	1	1	3	0	0	0	0	2	0	1
5	15	15	A=[a1+a1,b1+b1]	C_A	1	1	1	0	0	0	0	0	0	2
6	3	15	A=[a1,a1];B=[b1,b1]	C_B	1	1	1	0	1	2	2	2	0	0
6	10	15	A=[a1,a1];B=[b1+b1]	M_B_A	1	1	1	0	0	1	0	2	0	1
6	13	15	A=[a1,a1,b1+b1]	C_A	2	1	3	0	0	0	0	2	0	1
6	15	15	A=[a1,a1+b1+b1]	C_A	1	1	1	0	0	0	0	2	0	0
7	4	15	A=[a1,a1];B=[b1,b1]	M_B_A	2	1	1	0	1	2	2	2	0	0
7	5	15	A=[a1,a1,b1];B=[b1]	C_A	1	1	3	0	0	1	2	2	0	0
7	24	15	A=[a1+a1,b1];B=[b1]	C_A	1	1	1	0	0	1	2	0	0	1
7	19	15	A=[a1+a1+b1];B=[b1]	M_B_A	1	1	0	0	0	1	2	0	0	0
7	15	15	A=[a1+a1+b1,b1]	C_A	1	1	1	0	0	0	2	0	0	0
8	4	15	A=[a1,a1];B=[b1,b1]	M_B_A	2	1	1	0	1	2	2	2	0	0
8	5	15	A=[a1,a1,b1];B=[b1]	C_A	1	1	3	0	0	1	2	2	0	0
8	8	15	A=[a1+a1,b1];B=[b1]	M_B_A	1	1	1	0	0	1	2	0	0	1
8	19	15	A=[a1+a1,b1,b1]	C_A	2	1	3	0	0	0	2	0	0	1
8	15	15	A=[a1+a1+b1,b1]	C_A	1	1	1	0	0	0	2	0	0	0
9	4	15	A=[a1,a1];B=[b1,b1]	M_B_A	2	1	1	0	1	2	2	2	0	0
9	5	15	A=[a1,a1,b1];B=[b1]	C_A	1	1	3	0	0	1	2	2	0	0
9	8	15	A=[a1+a1,b1];B=[b1]	M_B_A	1	1	1	0	0	1	2	0	0	1
9	12	15	A=[a1+a1,b1,b1]	C_A	1	1	3	0	0	0	2	0	0	1
9	15	15	A=[a1+a1,b1+b1]	C_A	1	1	1	0	0	0	0	0	0	2
