path_idx	node_id	LCA	label	event	count	C_A	C_B	M_A_B	m_2	m_4
84	14	21	A=[a1,a2+a2];B=[a1]	M_A_B	1	1	0	2	2	1
84	18	21	A=[a1];B=[a1,a2+a2]	M_A_B	1	0	1	1	2	1
84	20	21	B=[a1,a1,a2+a2]	C_B	2	0	3	0	2	1
84	21	21	B=[a1,a1+a2+a2]	C_B	1	0	1	0	1	0
85	4	21	A=[a1,a1,a2,a2]	M_A_B	2	6	0	4	4	0
85	36	21	A=[a1,a2,a2];B=[a1]	M_A_B	1	3	0	3	4	0
85	37	21	A=[a2,a2];B=[a1,a1]	C_A	1	1	1	2	4	0
85	39	21	A=[a2+a2];B=[a1,a1]	C_B	1	0	1	1	2	1
85	19	21	A=[a2+a2];B=[a1+a1]	M_A_B	1	0	0	1	0	2
85	21	21	B=[a1+a1,a2+a2]	C_B	1	0	1	0	0	2
86	4	21	A=[a1,a1,a2,a2]	M_A_B	2	6	0	4	4	0
86	36	21	A=[a1,a2,a2];B=[a1]	M_A_B	1	3	0	3	4	0
86	37	21	A=[a2,a2];B=[a1,a1]	C_A	1	1	1	2	4	0
86	18	21	A=[a2+a2];B=[a1,a1]	M_A_B	1	0	1	1	2	1
86	19	21	B=[a1,a1,a2+a2]	C_B	1	0	3	0	2	1
86	21	21	B=[a1+a1,a2+a2]	C_B	1	0	1	0	0	2
87	4	21	A=[a1,a1,a2,a2]	M_A_B	2	6	0	4	4	0
87	36	21	A=[a1,a2,a2];B=[a1]	M_A_B	1	3	0	3	4	0
87	37	21	A=[a2,a2];B=[a1,a1]	C_A	1	1	1	2	4	0
87	18	21	A=[a2+a2];B=[a1,a1]	M_A_B	1	0	1	1	2	1
87	20	21	B=[a1,a1,a2+a2]	C_B	2	0	3	0	2	1
87	21	21	B=[a1,a1+a2+a2]	C_B	1	0	1	0	1	0
88	4	21	A=[a1,a1,a2,a2]	M_A_B	2	6	0	4	4	0
88	36	21	A=[a1,a2,a2];B=[a1]	M_A_B	1	3	0	3	4	0
88	38	21	A=[a2,a2];B=[a1,a1]	C_B	1	1	1	2	4	0
88	39	21	A=[a2,a2];B=[a1+a1]	C_A	1	1	0	2	2	1
88	19	21	A=[a2+a2];B=[a1+a1]	M_A_B	1	0	0	1	0	2
88	21	21	B=[a1+a1,a2+a2]	C_B	1	0	1	0	0	2
89	4	21	A=[a1,a1,a2,a2]	M_A_B	2	6	0	4	4	0
89	36	21	A=[a1,a2,a2];B=[a1]	M_A_B	1	3	0	3	4	0
89	38	21	A=[a2,a2];B=[a1,a1]	C_B	1	1	1	2	4	0
89	29	21	A=[a2,a2];B=[a1+a1]	M_A_B	2	1	0	2	2	1
89	31	21	A=[a2];B=[a1+a1,a2]	C_B	1	0	1	1	2	1
89	22	21	A=[a2];B=[a1+a1+a2]	M_A_B	1	0	0	1	1	0
89	21	21	B=[a1+a1+a2,a2]	C_B	1	0	1	0	1	0
90	4	21	A=[a1,a1,a2,a2]	M_A_B	2	6	0	4	4	0
90	36	21	A=[a1,a2,a2];B=[a1]	M_A_B	1	3	0	3	4	0
90	38	21	A=[a2,a2];B=[a1,a1]	C_B	1	1	1	2	4	0
90	29	21	A=[a2,a2];B=[a1+a1]	M_A_B	2	1	0	2	2	1
90	16	21	A=[a2];B=[a1+a1,a2]	M_A_B	1	0	1	1	2	1
90	22	21	B=[a1+a1,a2,a2]	C_B	2	0	3	0	2	1
90	21	21	B=[a1+a1+a2,a2]	C_B	1	0	1	0	1	0
91	4	21	A=[a1,a1,a2,a2]	M_A_B	2	6	0	4	4	0
91	36	21	A=[a1,a2,a2];B=[a1]	M_A_B	1	3	0	3	4	0
91	38	21	A=[a2,a2];B=[a1,a1]	C_B	1	1	1	2	4	0
